,category,address,price,image_link,pincode,city,street,Type,nbr_rooms,serial,area
53,"Appartement 4 pièces 85 m²
Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas)",Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas),145600,https://file.bienici.com/photo/ag591008-210492347_photos.ubiflow.net_591008_210492347_photos_1.jpg_20190801120625?width=300&height=180&fit=cover,59290,Wasquehal,Centre-ville - Pharos - Site Saint-Nicolas,Appartement,4,54,85.0
40,"Appartement 2 pièces 41 m²
Wasquehal 59290 (Grand Cottignies)",Wasquehal 59290 (Grand Cottignies),140000,https://file.bienici.com/photo/pericles-25803012_a?width=300&height=180&fit=cover,59290,Wasquehal,Grand Cottignies,Appartement,2,41,41.0
65,"Maison 5 pièces 85 m²
Croix 59170",Croix 59170,138500,https://file.bienici.com/photo/ag593804-221609209_photos.ubiflow.net_593804_221609209_photos_1.jpg_20191018132833?width=300&height=180&fit=cover,59170,Croix,,Maison,5,66,85.0
60,"Appartement 2 pièces 53 m²
Croix 59170",Croix 59170,137000,https://file.bienici.com/photo/ag593804-218748273_photos.ubiflow.net_593804_218748273_photos_1.jpg_20191118214004?width=300&height=180&fit=cover,59170,Croix,,Appartement,2,61,53.0
28,"Maison 4 pièces 85 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),135990,https://file.bienici.com/photo/ag440414-221659210_photos.ubiflow.net_440414_221659210_photos_1.jpg_20191018190414?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Maison,4,29,85.0
22,"Maison 4 pièces 80 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),135000,https://file.bienici.com/photo/pericles-27660414_a?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Maison,4,23,80.0
9,"Appartement 2 pièces 63 m²
Croix 59170 (Fer à Cheval)",Croix 59170 (Fer à Cheval),125000,https://file.bienici.com/photo/pericles-27875328_a?width=300&height=180&fit=cover,59170,Croix,Fer à Cheval,Appartement,2,10,63.0
14,"Appartement 2 pièces 45 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),118000,https://file.bienici.com/photo/immo-facile-32614038_media.immo-facile.com_office16_immodefrance_npdc_catalog_images_pr_p_3_2_6_1_4_0_3_8_32614038a.jpg_DATEMAJ_25_06_2019-17_26_45?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,2,15,45.0
8,"Appartement 2 pièces 54 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),115990,https://file.bienici.com/photo/ag440414-225507691_photos.ubiflow.net_440414_225507691_photos_1.jpg_20191114185847?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,2,9,54.0
13,"Appartement 3 pièces 90 m²
Croix 59170 (Fer à Cheval)",Croix 59170 (Fer à Cheval),115000,https://file.bienici.com/photo/ag440414-212765508_photos.ubiflow.net_440414_212765508_photos_1.jpg_20191126145042?width=300&height=180&fit=cover,59170,Croix,Fer à Cheval,Appartement,3,14,90.0
3,"Appartement 2 pièces
Wasquehal 59290 (Noir Bonnet - Rue Pasteur)",Wasquehal 59290 (Noir Bonnet - Rue Pasteur),114500,https://file.bienici.com/photo/citya-immobilier-1289-TAPP422525_cityabox-web.ics.infoclip.fr_icsbox_cit_CITYA_FLANDRES_jdd_transaction_photo_filigrane-2--3989774459365924394.jpg?width=300&height=180&fit=cover,59290,Wasquehal,Noir Bonnet - Rue Pasteur,Appartement,2,4,
41,"Appartement 1 pièce 43 m²
Croix 59170 (Fer à Cheval)",Croix 59170 (Fer à Cheval),104000,https://file.bienici.com/photo/pericles-25038823_a?width=300&height=180&fit=cover,59170,Croix,Fer à Cheval,Appartement,1,42,43.0
4,"Appartement 2 pièces 53 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),99000,https://file.bienici.com/photo/ag592837-227283511_photos.ubiflow.net_592837_227283511_photos_1.jpg_20191129023826?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,2,5,53.0
0,"Appartement 3 pièces 95 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),96505,https://file.bienici.com/photo/ag752451-209382087_photos.ubiflow.net_752451_209382087_photos_1.jpg_20191213204035?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,3,1,95.0
17,"Appartement 1 pièce 42 m²
Croix 59170 (Centre-ville)",Croix 59170 (Centre-ville),80000,https://file.bienici.com/photo/ag594019-228452107_photos.ubiflow.net_594019_228452107_photos_1.jpg_20191207094215?width=300&height=180&fit=cover,59170,Croix,Centre-ville,Appartement,1,18,42.0
